raw_code,raw_name,source,version
A00.0,"Cólera devid a a Vibrio ch oler ae 01, biótipo chole",cid10_problemas.pdf,cid10_br_2008
A00.1,"Cólera devid a a Vibrio ch oler ae 01, biótipo El Tor",cid10_problemas.pdf,cid10_br_2008
A00.9,Cólera não e specificada,cid10_problemas.pdf,cid10_br_2008
A01.0,Febre tifóide,cid10_problemas.pdf,cid10_br_2008
A01.1,Febre paratif óide A,cid10_problemas.pdf,cid10_br_2008
A01.2,Febre paratif óide B,cid10_problemas.pdf,cid10_br_2008
A01.3,Febre paratif óide C,cid10_problemas.pdf,cid10_br_2008
A01.4,Febre paratif óide não esp ecif ica da,cid10_problemas.pdf,cid10_br_2008
A02.0,Enterite por salmonela,cid10_problemas.pdf,cid10_br_2008
A02.1,Septicemia p or salmonela,cid10_problemas.pdf,cid10_br_2008
A02.8,Outras infecç ões especifi cad as por salmonela,cid10_problemas.pdf,cid10_br_2008
A02.9,Infecção não especificad a po r s almonela,cid10_problemas.pdf,cid10_br_2008
A03.0,Shiguelose d evida a Shig ella dy senteriae,cid10_problemas.pdf,cid10_br_2008
A03.1,Shiguelose d evida a Shig ella fle xneri,cid10_problemas.pdf,cid10_br_2008
A03.2,Shiguelose d evida a Shig ella bo ydii,cid10_problemas.pdf,cid10_br_2008
A03.3,Shiguelose d evida a Shig ella so nnei,cid10_problemas.pdf,cid10_br_2008
A03.8,Outras shigu eloses,cid10_problemas.pdf,cid10_br_2008
A03.9,Shiguelose n ão especific ada,cid10_problemas.pdf,cid10_br_2008
A04.0,Infecção por Escherichia coli en teropatogênica,cid10_problemas.pdf,cid10_br_2008
A04.1,Infecção por Escherichia coli en terotoxigênica,cid10_problemas.pdf,cid10_br_2008
A04.2,Infecção por Escherichia coli en teroinvasiva,cid10_problemas.pdf,cid10_br_2008
A04.3,Infecção por Escherichia coli en terohemorrágica,cid10_problemas.pdf,cid10_br_2008
A04.4,Outras infecç ões intestina is p or Escherichia coli,cid10_problemas.pdf,cid10_br_2008
